# Generated by cmd/dp-command-gates; do not edit by hand.
# Regenerate: go run ./cmd/dp-command-gates -oracle /path/to/darkpawns-c-oracle/src/interpreter.c
# seq<TAB>name<TAB>minimum level  (rows are in cmd_info[] SOURCE ORDER, law R2d)
1	north	0
2	east	0
3	south	0
4	west	0
5	up	0
6	down	0
7	abilities	0
8	at	38
9	advance	38
10	admobs	39
11	afk	0
12	aid	0
13	alias	0
14	alter	0
15	accuse	0
16	agree	0
17	ambush	0
18	apologize	0
19	applaud	0
20	anguish	0
21	appraise	0
22	assist	1
23	ask	0
24	auction	0
25	auto	0
26	bounce	0
27	backstab	1
28	bah	0
29	ban	38
30	balance	1
31	bash	1
32	bearhug	1
33	beckon	0
34	behead	0
35	beg	0
36	bellow	0
37	berserk	1
38	bird	0
39	bitch	0
40	bite	0
41	blame	0
42	bleed	0
43	bless	0
44	blink	0
45	blush	0
46	bonk	0
47	boink	0
48	boggle	0
49	bow	0
50	brief	0
51	brb	0
52	burp	0
53	buy	0
54	bug	0
55	cackle	0
56	cast	1
57	carve	0
58	chuckle	0
59	chide	0
60	charge	1
61	circle	1
62	cheer	0
63	check	1
64	checkload	31
65	close	0
66	clan	1
67	clap	0
68	clear	0
69	cls	0
70	consider	0
71	color	0
72	collect	0
73	comfort	0
74	comb	0
75	commands	0
76	compare	0
77	compact	0
78	cough	0
79	credits	0
80	cringe	0
81	cry	0
82	ctell	0
83	cuddle	0
84	curse	0
85	curtsey	0
86	cutthroat	1
87	dance	0
88	date	31
89	daydream	0
90	dark	31
91	dc	32
92	deposit	1
93	search	0
94	diagnose	0
95	dig	31
96	disarm	0
97	disembowel	0
98	dismount	0
99	display	0
100	dns	39
101	doh	0
102	donate	0
103	drink	0
104	dragon	0
105	dream	0
106	drop	0
107	drool	0
108	eat	0
109	echo	31
110	emote	1
111	:	1
112	embrace	0
113	enter	0
114	equipment	0
115	escape	0
116	exits	0
117	examine	0
118	force	34
119	fade	0
120	faint	0
121	farewell	0
122	fart	0
123	fill	0
124	finger	0
125	flee	1
126	flesh	0
127	flex	0
128	flip	0
129	flirt	0
130	follow	0
131	fondle	0
132	freeze	38
133	french	0
134	frown	0
135	fume	0
136	future	0
137	fwap	0
138	get	0
139	gag	0
140	gasp	0
141	gecho	34
142	give	0
143	giggle	0
144	glare	0
145	glance	0
146	goto	31
147	gossip	0
148	gold	0
149	goose	0
150	group	1
151	grab	0
152	grats	0
153	greet	0
154	grin	0
155	grimace	0
156	groan	0
157	groinrip	0
158	grope	0
159	grovel	0
160	growl	0
161	grumble	0
162	gsay	0
163	gtell	0
164	help	0
165	headbutt	1
166	?	0
167	heh	0
168	handbook	31
169	hcontrol	38
170	hiccup	0
171	hide	1
172	highfive	0
173	hit	0
174	hire	0
175	hold	1
176	holler	1
177	holylight	31
178	home	31
179	hop	0
180	house	0
181	howl	0
182	hug	0
183	hum	0
184	hump	0
185	hush	0
186	inventory	0
187	idea	0
188	ident	39
189	idlist	38
190	imotd	31
191	immlist	0
192	inactive	0
193	info	0
194	infobar	0
195	insult	0
196	invis	31
197	junk	0
198	jeer	0
199	jin	0
200	kill	0
201	kabuki	1
202	kai	0
203	kick	1
204	kiss	0
205	kyo	0
206	look	0
207	laugh	0
208	lambada	0
209	last	33
210	leave	0
211	leer	0
212	levels	0
213	list	0
214	listen	0
215	lick	0
216	lines	0
217	lock	0
218	load	31
219	love	0
220	luaedit	31
221	map	0
222	mindlink	0
223	moan	0
224	mold	31
225	mosh	0
226	medit	31
227	mlist	31
228	motd	0
229	mail	1
230	massage	0
231	mount	0
232	mute	1
233	muhaha	0
234	mumble	0
235	murder	0
236	neckbreak	0
237	news	0
238	newbie	0
239	nibble	0
240	nod	0
241	noauction	0
242	nobroadcast	0
243	noctell	0
244	nogossip	0
245	nograts	0
246	nohassle	31
247	nonewbie	0
248	norepeat	0
249	noshout	1
250	nosummon	1
251	notell	1
252	notitle	34
253	noogie	0
254	nowiz	31
255	nudge	0
256	nuzzle	0
257	order	1
258	orgasm	31
259	offer	1
260	open	0
261	olc	31
262	olist	31
263	oedit	31
264	put	0
265	pace	0
266	pant	0
267	pat	0
268	page	31
269	palm	0
270	parry	0
271	pardon	1
272	peek	0
273	peer	0
274	pick	1
275	pinch	0
276	players	38
277	plot	0
278	piss	0
279	point	0
280	poke	0
281	policy	0
282	ponder	0
283	poofin	31
284	poofout	31
285	pose	0
286	pour	0
287	pout	0
288	practice	1
289	prompt	0
290	pray	0
291	puke	0
292	punch	0
293	purr	0
294	purge	32
295	quaff	0
296	qecho	31
297	quest	0
298	qui	0
299	quit	0
300	qsay	0
301	rest	0
