# Generated from src/interpreter.c cmd_info[] do_action rows plus the C insult special case; do not edit by hand.
# name<TAB>minimum level (lexical order matches C cmd_sort_info)
accuse	0
agree	0
anguish	0
apologize	0
applaud	0
bah	0
beckon	0
beg	0
bellow	0
bird	0
bitch	0
blame	0
bleed	0
bless	0
blink	0
blush	0
boggle	0
boink	0
bonk	0
bounce	0
bow	0
brb	0
burp	0
cackle	0
cheer	0
chide	0
chuckle	0
clap	0
comb	0
comfort	0
cough	0
cringe	0
cry	0
cuddle	0
curse	0
curtsey	0
dance	0
daydream	0
doh	0
drool	0
embrace	0
fade	0
faint	0
farewell	0
fart	0
flex	0
flip	0
flirt	0
fondle	0
french	0
frown	0
fume	0
fwap	0
gag	0
gasp	0
giggle	0
glare	0
goose	0
greet	0
grimace	0
grin	0
groan	0
grope	0
grovel	0
growl	0
grumble	0
heh	0
hiccup	0
highfive	0
hop	0
howl	0
hug	0
hum	0
hump	0
hush	0
insult	0
jeer	0
kiss	0
lambada	0
laugh	0
leer	0
lick	0
listen	0
love	0
massage	0
moan	0
mosh	0
muhaha	0
mumble	0
nibble	0
nod	0
noogie	0
nudge	0
nuzzle	0
pace	0
pant	0
pat	0
peer	0
pinch	0
piss	0
plot	0
poke	0
ponder	0
pose	0
pout	0
pray	0
puke	0
punch	0
purr	0
raise	0
reel	0
ren	0
roar	0
rofl	0
ruffle	0
salute	0
scoff	0
scratch	0
scream	0
shake	0
shame	0
shishkabob	0
shiver	0
shrug	0
shudder	0
sigh	0
sing	0
slap	0
smell	0
smile	0
smirk	0
snap	0
snarl	0
sneer	0
sneeze	0
snicker	0
sniff	0
snore	0
snowball	31
snuggle	0
spackle	0
spank	0
spew	0
spit	0
squeeze	0
stare	0
startle	0
steam	0
stimpy	0
stretch	0
stroke	0
strut	0
sulk	0
sweat	0
tackle	0
tango	0
tap	0
taunt	0
thank	0
thpbt	0
threaten	0
throttle	0
thumbsup	0
thunk	0
tickle	0
tilt	0
tug	0
twiddle	0
violate	0
waltz	0
wave	0
wedgie	0
wee	0
weep	0
whap	0
whimper	0
whine	0
whistle	0
wiggle	0
wink	0
worship	0
yawn	0
yodel	0
yuball	0
